ID	Group	Date	Time	BT
S40	Pre-hib	17.12.2019	15:02:01	36,616
S40	Pre-hib	17.12.2019	15:22:01	36,554
S40	Pre-hib	17.12.2019	15:42:01	36,741
S40	Pre-hib	17.12.2019	16:02:01	36,741
S40	Pre-hib	17.12.2019	16:22:01	36,928
S40	Pre-hib	17.12.2019	16:42:01	37,364
S40	Pre-hib	17.12.2019	17:02:01	37,177
S40	Pre-hib	17.12.2019	17:22:01	36,99
S40	Pre-hib	17.12.2019	17:42:01	36,928
S40	Pre-hib	17.12.2019	18:02:01	36,491
S40	Pre-hib	17.12.2019	18:22:01	36,678
S40	Pre-hib	17.12.2019	18:42:01	36,429
S40	Pre-hib	17.12.2019	19:02:01	37,052
S40	Pre-hib	17.12.2019	19:22:01	36,865
S40	Pre-hib	17.12.2019	19:42:01	36,803
S40	Pre-hib	17.12.2019	20:02:01	37,302
S40	Pre-hib	17.12.2019	20:22:01	37,614
S40	Pre-hib	17.12.2019	20:42:01	37,614
S40	Pre-hib	17.12.2019	21:02:01	37,925
S40	Pre-hib	17.12.2019	21:22:01	38,237
S40	Pre-hib	17.12.2019	21:42:01	38,549
S40	Pre-hib	17.12.2019	22:02:01	38,549
S40	Pre-hib	17.12.2019	22:22:01	38,362
S40	Pre-hib	17.12.2019	22:42:01	37,863
S40	Pre-hib	17.12.2019	23:02:01	38,175
S40	Pre-hib	17.12.2019	23:22:01	37,863
S40	Pre-hib	17.12.2019	23:42:01	38,05
S40	Pre-hib	18.12.2019	00:02:01	37,925
S40	Pre-hib	18.12.2019	00:22:01	38,05
S40	Pre-hib	18.12.2019	00:42:01	37,302
S40	Pre-hib	18.12.2019	01:02:01	37,427
S40	Pre-hib	18.12.2019	01:22:01	37,738
S40	Pre-hib	18.12.2019	01:42:01	37,988
S40	Pre-hib	18.12.2019	02:02:01	38,112
S40	Pre-hib	18.12.2019	02:22:01	37,925
S40	Pre-hib	18.12.2019	02:42:01	37,925
S40	Pre-hib	18.12.2019	03:02:01	37,863
S40	Pre-hib	18.12.2019	03:22:01	37,801
S40	Pre-hib	18.12.2019	03:42:01	37,427
S40	Pre-hib	18.12.2019	04:02:01	37,801
S40	Pre-hib	18.12.2019	04:22:01	37,801
S40	Pre-hib	18.12.2019	04:42:01	36,865
S40	Pre-hib	18.12.2019	05:02:01	36,304
S40	Pre-hib	18.12.2019	05:22:01	36,99
S40	Pre-hib	18.12.2019	05:42:01	37,738
S40	Pre-hib	18.12.2019	06:02:01	37,863
S40	Pre-hib	18.12.2019	06:22:01	36,928
S40	Pre-hib	18.12.2019	06:42:01	36,491
S40	Pre-hib	18.12.2019	07:02:01	36,491
S40	Pre-hib	18.12.2019	07:22:01	36,179
S40	Pre-hib	18.12.2019	07:42:01	35,868
S40	Pre-hib	18.12.2019	08:02:01	36,367
