ensembl_gene_id mgi_symbol Symbol
ENSMUSG00000058706 0610030E20Rik 0610030E20Rik
ENSMUSG00000089889 0610040B10Rik 0610040B10Rik
ENSMUSG00000060512 0610040J01Rik 0610040J01Rik
ENSMUSG00000097863 1010001B22Rik 1010001B22Rik
ENSMUSG00000071456 1110002L01Rik 1110002L01Rik
ENSMUSG00000097616 1110019D14Rik 1110019D14Rik
ENSMUSG00000097047 1110020A21Rik 1110020A21Rik
ENSMUSG00000037971 1110032A03Rik 1110032A03Rik
ENSMUSG00000085457 1110046J04Rik 1110046J04Rik
ENSMUSG00000040591 1110051M20Rik 1110051M20Rik
ENSMUSG00000078570 1110065P20Rik 1110065P20Rik
ENSMUSG00000043687 1190005I06Rik 1190005I06Rik
ENSMUSG00000098912 1500004A13Rik 1500004A13Rik
ENSMUSG00000072694 1500011B03Rik 1500011B03Rik
ENSMUSG00000097383 1500026H17Rik 1500026H17Rik
ENSMUSG00000050088 1600012H06Rik 1600012H06Rik
ENSMUSG00000043629 1700019D03Rik 1700019D03Rik
ENSMUSG00000100147 1700047M11Rik 1700047M11Rik
ENSMUSG00000100837 1700063D05Rik 1700063D05Rik
ENSMUSG00000038323 1700066M21Rik 1700066M21Rik
ENSMUSG00000101856 1700096K18Rik 1700096K18Rik
ENSMUSG00000096935 1700113A16Rik 1700113A16Rik
ENSMUSG00000054091 1810037I17Rik 1810037I17Rik
ENSMUSG00000100680 1810044D09Rik 1810044D09Rik
ENSMUSG00000035372 1810055G02Rik 1810055G02Rik
ENSMUSG00000073155 1810058I24Rik 1810058I24Rik
ENSMUSG00000027713 1810062G17Rik 1810062G17Rik
ENSMUSG00000087165 2010001A14Rik 2010001A14Rik
ENSMUSG00000063018 2010204K13Rik 2010204K13Rik
ENSMUSG00000020133 2310011J03Rik 2310011J03Rik
ENSMUSG00000097729 2310015A10Rik 2310015A10Rik
ENSMUSG00000031983 2310022B05Rik 2310022B05Rik
ENSMUSG00000045411 2410002F23Rik 2410002F23Rik
ENSMUSG00000036873 2410004B18Rik 2410004B18Rik
ENSMUSG00000073236 2500004C02Rik 2500004C02Rik
ENSMUSG00000043391 2510009E07Rik 2510009E07Rik
ENSMUSG00000100164 2610306M01Rik 2610306M01Rik
ENSMUSG00000097040 2610316D01Rik 2610316D01Rik
ENSMUSG00000010277 2610507B11Rik 2610507B11Rik
ENSMUSG00000097180 2700038G22Rik 2700038G22Rik
ENSMUSG00000024273 2700062C07Rik 2700062C07Rik
ENSMUSG00000075389 2810410L24Rik 2810410L24Rik
ENSMUSG00000100594 2810414N06Rik 2810414N06Rik
ENSMUSG00000097709 2810429I04Rik 2810429I04Rik
ENSMUSG00000043993 2900052L18Rik 2900052L18Rik
ENSMUSG00000099696 2900052N01Rik 2900052N01Rik
ENSMUSG00000097277 2900076A07Rik 2900076A07Rik
ENSMUSG00000026388 3110009E18Rik 3110009E18Rik
ENSMUSG00000094958 3110021N24Rik 3110021N24Rik
ENSMUSG00000073590 3222401L13Rik 3222401L13Rik
ENSMUSG00000033111 3830406C13Rik 3830406C13Rik
ENSMUSG00000025871 4833439L19Rik 4833439L19Rik
ENSMUSG00000097626 4921504A21Rik 4921504A21Rik
ENSMUSG00000046567 4930430F08Rik 4930430F08Rik
ENSMUSG00000067795 4930444P10Rik 4930444P10Rik
ENSMUSG00000059920 4930453N24Rik 4930453N24Rik
ENSMUSG00000086938 4930481A15Rik 4930481A15Rik
ENSMUSG00000087478 4930506C21Rik 4930506C21Rik
ENSMUSG00000072762 4930522L14Rik 4930522L14Rik
ENSMUSG00000005131 4930550C14Rik 4930550C14Rik
ENSMUSG00000027811 4930579G24Rik 4930579G24Rik
ENSMUSG00000070315 4930581F22Rik 4930581F22Rik
ENSMUSG00000031938 4931406C07Rik 4931406C07Rik
ENSMUSG00000086968 4933431E20Rik 4933431E20Rik
ENSMUSG00000103715 4933431K14Rik 4933431K14Rik
ENSMUSG00000036046 5031439G07Rik 5031439G07Rik
ENSMUSG00000087620 5330434G04Rik 5330434G04Rik
ENSMUSG00000087174 5530601H04Rik 5530601H04Rik
ENSMUSG00000057181 5730455P16Rik 5730455P16Rik
ENSMUSG00000100301 6030407O03Rik 6030407O03Rik
ENSMUSG00000022195 6030458C11Rik 6030458C11Rik
ENSMUSG00000093424 6330562C20Rik 6330562C20Rik
ENSMUSG00000072066 6720489N17Rik 6720489N17Rik
